no,title,date,attach_local,attach_orig
157,MOU Sigining with Vietnam Real Estate Development Association (VNREA),2016/12/20,161116.jpg,161116.jpg
156,Discussion on CM Utilization Plans for the Military Facility Project,2016/12/20,161103.JPG,161103.JPG
155,The 3rd Education and Training Committee Meeting for 2016,2016/12/20,161102.JPG,161102.JPG
154,CM Education in Busan,2016/11/09,161025.jpg,161025.jpg
153,A Special Lecture on the Implementation of the Anti-Graft Law and Countermeasures,2016/11/09,161015.jpg,161015.jpg
152,The 4th Board Meeting for 2016,2016/11/09,,
151,A Seminar to Minimize the Confusion Due to the Implementation of the Anti-Graft Law,2016/11/09,160928.jpg,160928.jpg
150,Policy Seminar hosted by the National Assembly CM Forum,2016/09/26,160908.jpg,160908.jpg
149,Cooperation Meeting with Vietnam National Real Estate Association,2016/09/26,160902.jpg,160902.jpg
148,Opening of Free Legal Consultation Services,2016/09/26,,
147,Announcement of 2016 Construction Management (CM) Capabilities Performance Evaluation Results,2016/09/26,,
146,Joint Development by CMAK and CMX for Construction Activity Smart Application for CM,2016/09/26,,
145,The 3rd Board Meeting for 2016,2016/09/26,160822.jpg,160822.jpg
144,CM Implementation Project in Vietnam Right on Track,2016/08/25,160803.jpg,160803.jpg
143,Meeting with Royal Institution of Chartered Surveyors for Collaboration,2016/08/25,160729.jpg,160729.jpg
142,"Myanmar, CM Test Project Selected",2016/08/25,160726.jpg,160726.jpg
141,Seoul Metropolitan City CM Meeting,2016/08/25,160713.jpg,160713.jpg
140,National Assembly CM Forum - Appointment of Co-Chairs KIM Sung-tae and MIN Hong-chul,2016/08/25,,
139,Launch of the Korea-Vietnam Construction Collaboration Committee,2016/06/28,160623.jpg,160623.jpg
138,The 2nd Construction Management Professional (CMP) Conference,2016/06/28,160617.jpg,160617.jpg
137,The 2nd Overseas Venture Committee Meeting for 2016,2016/06/27,160608.jpg,160608.jpg
136,Vietnam-Korea CM Introductory Seminar,2016/06/07,160526.jpg,160526.jpg
135,2nd Education and Training Committee Meeting for 2016,2016/05/26,160503.JPG,160503.JPG
